elo_diff,goal_diff_avg,home_form,away_form,h2h_wins,is_knockout,squad_value_ratio,value_log_home,value_log_away,eafc_overall_diff,eafc_physic_diff,eafc_top5_avg_home,venue_altitude_m,is_high_altitude,altitude_penalty,target
0.0,0.0,0.5,0.5,0,0,3.75,8.653212513775344,8.079181246047625,4.5,5.5,84.0,71,False,0.0,0
0.0,0.0,0.5,0.5,0,0,3.6,8.255272505103306,7.698970004336019,7.0,5.0,80.5,2,False,0.0,0
0.0,0.0,0.5,0.5,0,0,4.8,8.380211241711606,7.698970004336019,7.5,4.5,81.5,71,False,0.0,0
0.0,0.0,0.5,0.5,0,0,2.4,9.079181246047625,8.698970004336019,3.5,3.5,88.5,2240,True,-0.1,0
0.0,0.0,0.5,0.5,0,0,0.1,7.698970004336019,8.698970004336019,-10.5,-4.5,70.0,313,False,0.0,0
0.0,0.0,0.5,0.5,0,0,4.545454545454546,9.0,8.342422680822207,6.5,3.5,87.5,12,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.045454545454545456,7.698970004336019,9.041392685158225,-14.5,-9.5,70.0,15,False,0.0,0
0.0,0.0,0.5,0.5,0,0,20.0,9.0,7.698970004336019,13.5,7.0,87.5,12,False,0.0,0
0.0,0.0,0.5,0.5,0,0,5.0,9.041392685158225,8.342422680822207,7.5,6.0,89.0,15,False,0.0,0
0.0,0.0,0.5,0.5,0,0,1.0,7.698970004336019,7.698970004336019,0.0,0.0,70.0,20,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.05,7.698970004336019,9.0,-13.5,-7.0,70.0,2,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.2777777777777778,7.698970004336019,8.255272505103306,-7.0,-5.0,70.0,2,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.1111111111111111,7.698970004336019,8.653212513775344,-10.0,-9.0,70.0,2,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.4,8.255272505103306,8.653212513775344,-3.0,-4.0,80.5,15,False,0.0,0
0.0,0.0,0.5,0.5,0,0,1.0,7.698970004336019,7.698970004336019,0.0,0.0,70.0,2240,True,-0.1,0
0.0,0.0,0.5,0.5,0,0,4.0,8.301029995663981,7.698970004336019,7.0,4.0,81.0,15,False,0.0,0
0.0,0.0,0.5,0.5,0,0,4.0,8.301029995663981,7.698970004336019,7.0,4.0,81.0,539,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.22727272727272727,7.698970004336019,8.342422680822207,-7.0,-3.5,70.0,15,False,0.0,0
0.0,0.0,0.5,0.5,0,0,1.0,7.698970004336019,7.698970004336019,0.0,0.0,70.0,319,False,0.0,0
